000	5
001	5
002	5
003	5
004	5
005	5
006	5
007	5
008	5
009	5
010	5
011	5
012	5
013	5
014	5
015	5
016	5
017	5
018	5
019	5
020	5
021	5
022	5
023	5
024	5
025	5
026	5
027	5
028	5
029	5
030	5
031	5
032	5
033	5
034	5
035	5
036	5
037	5
038	5
039	5
040	5
041	5
042	5
043	5
044	5
045	5
046	5
047	5
048	5
049	5
050	5
051	5
052	5
053	5
054	5
055	5
056	5
057	5
058	5
059	5
060	5
061	5
062	5
063	5
064	5
065	5
066	5
067	5
068	5
069	5
070	5
071	5
072	5
073	5
074	5
075	5
076	5
077	5
078	5
079	5
080	5
081	5
082	5
083	0
084	5
086	0
087	0
091	5
092	5
096	5
098	5
