	doc_id	corpus_id	title	abstract	year	venue	norm_year	scaled_year	n_authors	norm_authors
0	202963652	202963652	Modified element stacking method for multi material topology optimization with anisotropic materials	This article presents a modified element stacking method for anisotropic multi material topology optimization. This method can transform standard multi material topology optimization formulations into a series of equivalent single material topology optimization ones to overcome the various limitations inherent to conventional techniques. First, typical multi material topology optimization methods utilize material interpolation schemes that restrict the study to the isotropic domain with a constant Poisson's ratio, limiting practical applications and solution accuracy. Additionally, in attempts to further extend these classical multi material topology optimization methods to anisotropic materials, preparing the necessary element information matrices becomes increasingly laborious or even impossible for complex models, preventing the application of sensitivity analysis for robust gradient based optimization methods. To directly address these limitations, the element interpolation method replaces material interpolation schemes with an element interpolation framework, where each design cell property is determined using a weighted sum of various coincident single material elements. This paper provides a thorough description of element interpolation and presents several numerical examples demonstrating successful implementation.	2019	Structural and Multidisciplinary Optimization	0.8119999766349792	3.0206398963928223	2	-0.44999998807907104
1	101165766	101165766	The Chemical Constituents of Aspidopterys Obcordata Hemsl by Comprehensive Preliminary Test	Objective:To study the chemical constituents of Aspidopterys obcordata Hemsl by comprehensive preliminary test.Methods:Components of water extraction,95% EtOH extraction and petroleum extraction from Aspidopterys obcordata Hemsl were studied by using tube reaction,paper reaction and TLC methods.The active components of Aspidopterys obcordata Hemsl were preliminary investigated according to precipitation reaction and chromogenic reaction of several indicator and chro mogenic agent.Results:Terpenoids,polyphenols and tannins may be existed in Aspidopterys obcordata Hemsl.Conclusion:The active components of Aspidopterys obcordata Hemsl were preliminary determined.The results provided experimental data for further study.	2014		0.5	1.8600000143051147	1	-0.6940000057220459
2	238982976	238982976	Peningkatan Hasil Belajar Berbicara Teks Prosedur Melalui Metode Presentasi Power Point Mata Pelajaran Bahasa Inggris Pada Peserta Didik Kelas IX G Semester 1Tahun Pelajaran 2017/2018 SMP Negeri 1 Tugu	Speaking is one of the four language skills that have been taught in English lesson. In this era, speaking ability, especiallyA to do public speaking in English is truly substantial in accordance with the era of globalization. In fact, it is known that the students of SMP 1 Tugu still have low ability in public speaking It is due to some cases such as the lack of self confidence, the limited vocabulary and the feeling of being afraid to make mistake. The application of learning method focus on teacher center oriented is also being the main cause that have to be solved. Therefore, reseacher tries to design the lesson plan providing some challenging activities for students by applying learning method of aEURoepresentasi power point aEUR it is intended to enhance the studentsaEUR(tm) achievement in speaking ability of procedure text. The learning design is hoped to be be able to create the meaningful, active, creative and joyful learning atmosphere. For students, the research can increase their abilityA to produce procedure text orally. For teacher, it can improve the skill of using various learningA methods in class. The research is held based onA the research methology of Kemmis that consist of 4 steps, planning, acting, observing and reflecting. This research is designed in two cycles. The studentsaEUR(tm) achivement in cycle 1 shows that minimum score A hasnaEUR(tm)t been achieved yet. The data shows that there are only 21 students passed of 29 72,41% And there is an increasement in the second cycle that is 26 students passed, 89,66% There is also an increasement of the A average score, 76,83 in cycle 1 and 81,38 in cycle 2. It means that the students achievement enhance 4,55 Thus, it can be inferred that aEUR~presentasi power point aEUR learning method can enhance the public speaking ability of procedure texts of the first semester students of SMP 1 Tugu, especially class IX G, in the year of 2017 2018.	2018		0.75	2.7899999618530273	1	-0.6940000057220459
3	5246489	5246489	Introduction to Modern Cryptography, Second Edition	Cryptography is ubiquitous and plays a key role in ensuring data secrecy and integrity as well as in securing computer systems more broadly. Introduction to Modern Cryptography provides a rigorous yet accessible treatment of this fascinating subject. The authors introduce the core principles of modern cryptography, with an emphasis on formal definitions, clear assumptions, and rigorous proofs of security. The book begins by focusing on private key cryptography, including an extensive treatment of private key encryption, message authentication codes, and hash functions. The authors also present design principles for widely used stream ciphers and block ciphers including RC4, DES, and AES, plus provide provable constructions of stream ciphers and block ciphers from lower level primitives. The second half of the book covers public key cryptography, beginning with a self contained introduction to the number theory needed to understand the RSA, Diffie Hellman, and El Gamal cryptosystems (and others) followed by a thorough treatment of several standardized public key encryption and digital signature schemes. Integrating a more practical perspective without sacrificing rigor, this widely anticipated Second Edition offers improved treatment of: Stream ciphers and block ciphers, including modes of operation and design principles Authenticated encryption and secure communication sessions Hash functions, including hash function applications and design principles Attacks on poorly implemented cryptography, including attacks on chained CBC encryption, padding oracle attacks, and timing attacks The random oracle model and its application to several standardized, widely used public key encryption and signature schemes Elliptic curve cryptography and associated standards such as DSA/ECDSA and DHIES/ECIES Containing updated exercises and worked examples, Introduction to Modern Cryptography, Second Edition can serve as a textbook for undergraduate or graduate level courses in cryptography, a valuable reference for researchers and practitioners, or a general introduction suitable for self study.	2014		0.5	1.8600000143051147	2	-0.44999998807907104
4	15828442	15828442	Robust detection of shady and highlighted roads for monocular camera based navigation of UGV	This paper addresses the problem of UGV navigation in various environments and lightning conditions. Previous approaches use a combination of different sensors, or work well, only in scenarios with noticeable road marking or borders. Our robot is used for chemical, nuclear and biological contamination measurement. Thus, to avoid complications with decontamination, only a monocular camera serves as a sensor since it is already equipped. In this paper, we propose a novel approach a fusion of frequency based vanishing point estimation and probabilistically based color segmentation. Detection of a vanishing point, is based on the estimation of a texture flow, produced by a bank of Gabor wavelets and a voting function. Next, the vanishing point defines the training area, which is used for self supervised learning of color models. Finally, road patches are selected by measuring of the roadness score. A few rules deal with dark cast shadows, overexposed highlights and adaptivity speed. In addition to the robustness of our system, it is easy to use since no calibration is needed.	2011	2011 IEEE International Conference on Robotics and Automation	0.31200000643730164	1.160640001296997	4	0.03700000047683716
5	211764357	211764357	Development of Youth Entrepreneurship in Russia in the Conditions of Digital Economy	This paper describes the current situation with youth unemployment in Russia, put forward assumptions about its causes, including shortcomings in the organization of the educational process. The team of authors proposes measures to develop the Russian economy by involving young people in entrepreneurial activities in the conditions of digitalization of the economy through changes in the educational process of students. The analysis made it possible to draw conclusions about the ineffectiveness of the current state of economic policy, which is not aimed at promoting entrepreneurial initiatives by providing financial and other support, but at regulation and control of additional types of earnings for certain categories of citizens. The team of authors proposes recommendations on improving the educational process, within the frameworks of which the students studying at universities will be given theoretical and practical knowledge of doing business to solve existing problems.	2018		0.75	2.7899999618530273	3	-0.2070000022649765
6	54442555	54442555	Investigate the Carbon distribution and Structural Group Composition of Two Kurdistan Crude Oils (T 21A PF2) and Their Fractions	For the first time, a determination of the total content of oil fractions in KRG was made using two samples of Kurdistan crude oils on the basis of the n d M method. To determine the structural group composition of crude oil, it was proposed to use Tawke T 21A and Shekhan PF2 Crude oils. This paper is devoted to the study structural group of crude oil of different deposited differs from each other in physical and chemical properties. Since the properties of the oil determine the direction and application in petroleum refinery of its processing, to assess the quality of oil n d M method.	2018	2018 International Conference on Advanced Science and Engineering (ICOASE)	0.75	2.7899999618530273	3	-0.2070000022649765
7	189814373	189814373	The Hippocratic Oath and the Declaration of Geneva: legitimisation attempts of professional conduct	The Hippocratic Oath and the Declaration of Geneva of the World Medical Association are compared in terms of content and origin. Their relevance for current medical practice is investigated. The status which is ascribed to these documents will be shown and the status which they can reasonably claim to have will be explored. Arguments in favor of the Hippocratic Oath that rely on historical stability or historical origin are being examined. It is demonstrated that they get caught up in paradoxes. Should doctors swear the Hippocratic Oath or the Declaration of Geneva? The Hippocratic Oath is a remarkable historic document, which contains important elements still relevant for medical ethics today. Its interpretation as a timeless, still valid medical code is unfounded. The historical arguments, that should justify its validity, are untenable. The Declaration of Geneva, and not the Hippocratic Oath, can legitimately claim to come close to representing the most important principles of professional medical conduct in today's globalised world.	2019	Medicine, health care, and philosophy	0.8119999766349792	3.0206398963928223	1	-0.6940000057220459
8	201469212	201469212	Maria Antonia Canals y la Didactica de las Matematicas	El articulo presenta parte de una investigacion de doctorado sobre la historia de vida de Maria Antonia Canals, matematica, maestra, formadora de maestras/os e investigadora en la ensenanza de las matematicas en Educacion Infantil y Primaria. Se estudia su proceso de formacion en Didactica de las Matematicas y su posicion en este campo cientifico. La Didactica de las Matematicas se consolida en el ambito universitario, especialmente dedicado a la carrera academica del profesorado, mientras que los movimientos de renovacion pedagogica se dedican a la mejora de la ensenanza escolar. El caso de M. A. Canals sirve para analizar el papel de la Didactica de las Matematicas y sus limitaciones actuales.	2018		0.75	2.7899999618530273	1	-0.6940000057220459
9	86828211	86828211	Detect Rumors on Twitter by Promoting Information Campaigns with Generative Adversarial Learning	Rumors can cause devastating consequences to individual and/or society. Analysis shows that widespread of rumors typically results from deliberately promoted information campaigns which aim to shape collective opinions on the concerned news events. In this paper, we attempt to fight such chaos with itself to make automatic rumor detection more robust and effective. Our idea is inspired by adversarial learning method originated from Generative Adversarial Networks (GAN) We propose a GAN style approach, where a generator is designed to produce uncertain or conflicting voices, complicating the original conversational threads in order to pressurize the discriminator to learn stronger rumor indicative representations from the augmented, more challenging examples. Different from traditional data driven approach to rumor detection, our method can capture low frequency but stronger non trivial patterns via such adversarial training. Extensive experiments on two Twitter benchmark datasets demonstrate that our rumor detection method achieves much better results than state of the art methods.	2019	WWW	0.8119999766349792	3.0206398963928223	3	-0.2070000022649765
