	doc_id	corpus_id	title	abstract	index	retweets	count	mentions
0	1406.6048	118384481	A STATISTICAL RECONSTRUCTION OF THE PLANET POPULATION AROUND KEPLER SOLAR-TYPE STARS	Using the cumulative catalog of planets detected by the NASA Kepler mission, we reconstruct the intrinsic occurrence of Earth- to Neptune-size (1–4 R⊕) planets and their distributions with radius and orbital period. We analyze 76,711 solar-type (0.8 < R*/R☉ < 1.2) stars with 430 planets on 20–200 day orbits, excluding close-in planets that may have been affected by the proximity to the host star. Our analysis considers errors in planet radii and includes an “iterative simulation” technique that does not bin the data. We find a radius distribution that peaks at 2–2.8 Earth radii, with lower numbers of smaller and larger planets. These planets are uniformly distributed with logarithmic period, and the mean number of such planets per star is 0.46 ± 0.03. The occurrence is ∼0.66 if planets interior to 20 days are included. We estimate the occurrence of Earth-size planets in the “habitable zone” (defined as 1–2 R⊕, 0.99–1.7 AU for solar-twin stars) as . Our results largely agree with those of Petigura et al., although we find a higher occurrence of 2.8–4 Earth-radii planets. The reasons for this excess are the inclusion of errors in planet radius, updated Huber et al. stellar parameters, and also the exclusion of planets that may have been affected by proximity to the host star.	72348	0.5882353186607361	2	2.5880000591278076
1	1901.08276	59222778	Traditional and Heavy-Tailed Self Regularization in Neural Network Models	Random Matrix Theory (RMT) is applied to analyze the weight matrices of Deep Neural Networks (DNNs), including both production quality, pre-trained models such as AlexNet and Inception, and smaller models trained from scratch, such as LeNet5 and a miniature-AlexNet. Empirical and theoretical results clearly indicate that the empirical spectral density (ESD) of DNN layer matrices displays signatures of traditionally-regularized statistical models, even in the absence of exogenously specifying traditional forms of regularization, such as Dropout or Weight Norm constraints. Building on recent results in RMT, most notably its extension to Universality classes of Heavy-Tailed matrices, we develop a theory to identify \emph{5+1 Phases of Training}, corresponding to increasing amounts of \emph{Implicit Self-Regularization}. For smaller and/or older DNNs, this Implicit Self-Regularization is like traditional Tikhonov regularization, in that there is a `size scale' separating signal from noise. For state-of-the-art DNNs, however, we identify a novel form of \emph{Heavy-Tailed Self-Regularization}, similar to the self-organization seen in the statistical physics of disordered systems. This implicit Self-Regularization can depend strongly on the many knobs of the training process. By exploiting the generalization gap phenomena, we demonstrate that we can cause a small model to exhibit all 5+1 phases of training simply by changing the batch size.	110021	0.5882353186607361	4	4.5879998207092285
2	1907.03266	195833175	Complexity of planar signed graph homomorphisms to cycles		124327	0.0	3	3.0
3	1110.3368	761095	Viral Evolution and Adaptation as a Multivariate Branching Process	"In the present work we analyze the problem of adaptation and evolution of RNA virus populations, by defining the basic stochastic model as a multivariate branching process in close relation with the branching process advanced by Demetrius, Schuster and Sigmund (""Polynucleotide evolution and branching processes"", Bull. Math. Biol. 46 (1985) 239-262), in their study of polynucleotide evolution. We show that in the absence of beneficial forces the model is exactly solvable. As a result it is possible to prove several key results directly related to known typical properties of these systems like (i) proof, in the context of the theory of branching processes, of the lethal mutagenesis criterion proposed by Bull, Sanju\'an and Wilke (""Theory of lethal mutagenesis for viruses"", J. Virology 18 (2007) 2930-2939); (ii) a new proposal for the notion of relaxation time with a quantitative prescription for its evaluation and (iii) the quantitative description of the evolution of the expected values in four distinct regimes: transient, ""stationary"" equilibrium, extinction threshold and lethal mutagenesis. Moreover, new insights on the dynamics of evolving virus populations can be foreseen."	14941	0.0	4	4.0
4	1308.5365	18595339	Increasing herd immunity with influenza revaccination	SUMMARY Seasonal influenza is a significant public health concern globally. While influenza vaccines are the single most effective intervention to reduce influenza morbidity and mortality, there is considerable debate surrounding the merits and consequences of repeated seasonal vaccination. Here, we describe a two-season influenza epidemic contact network model and use it to demonstrate that increasing the level of continuity in vaccination across seasons reduces the burden on public health. We show that revaccination reduces the influenza attack rate not only because it reduces the overall number of susceptible individuals, but also because it better protects highly connected individuals, who would otherwise make a disproportionately large contribution to influenza transmission. We also demonstrate that our results hold on an empirical contact network, in the presence of assortativity in vaccination status, and are robust for a range of vaccine coverage and efficacy levels. Our work contributes a population-level perspective to debates about the merits of repeated influenza vaccination and advocates for public health policy to incorporate individual vaccine histories.	49264	1.1764706373214722	2	3.1760001182556152
5	1407.0726	14666609	Low-rank matrix recovery in poisson noise	This paper describes a new algorithm for recovering low-rank matrices from their linear measurements contaminated with Poisson noise: the Poisson noise Maximum Likelihood Singular Value thresholding (PMLSV) algorithm. We propose a convex optimization formulation with a cost function consisting of the sum of a likelihood function and a regularization function which is proportional to the nuclear norm of the matrix. Instead of solving the optimization problem directly by semi-definite program (SD-P), we derive an iterative singular value thresholding algorithm by expanding the likelihood function. We demonstrate the good performance of the proposed algorithm on recovery of solar flare images with Poisson noise: the algorithm is more efficient than solving SDP using the interior-point algorithm and it generates a good approximate solution compared to that solved from SDP.	73151	0.0	3	3.0
6	1302.7025	2182328	Maximizing acceptance probability for active friending in online social networks	Friending recommendation has successfully contributed to the explosive growth of online social networks. Most friending recommendation services today aim to support passive friending, where a user passively selects friending targets from the recommended candidates. In this paper, we advocate a recommendation support for active friending, where a user actively specifies a friending target. To the best of our knowledge, a recommendation designed to provide guidance for a user to systematically approach his friending target has not been explored for existing online social networking services. To maximize the probability that the friending target would accept an invitation from the user, we formulate a new optimization problem, namely, Acceptance Probability Maximization (APM), and develop a polynomial time algorithm, called Selective Invitation with Tree and In-Node Aggregation (SITINA), to find the optimal solution. We implement an active friending service with SITINA on Facebook to validate our idea. Our user study and experimental results reveal that SITINA outperforms manual selection and the baseline approach in solution quality efficiently.	37677	0.0	3	3.0
7	1907.05443	196471131	Learning Key-Value Store Design	"We introduce the concept of design continuums for the data layout of key-value stores. A design continuum unifies major distinct data structure designs under the same model. The critical insight and potential long-term impact is that such unifying models 1) render what we consider up to now as fundamentally different data structures to be seen as views of the very same overall design space, and 2) allow seeing new data structure designs with performance properties that are not feasible by existing designs. The core intuition behind the construction of design continuums is that all data structures arise from the very same set of fundamental design principles, i.e., a small set of data layout design concepts out of which we can synthesize any design that exists in the literature as well as new ones. We show how to construct, evaluate, and expand, design continuums and we also present the first continuum that unifies major data structure designs, i.e., B+tree, B-epsilon-tree, LSM-tree, and LSH-table. 
The practical benefit of a design continuum is that it creates a fast inference engine for the design of data structures. For example, we can predict near instantly how a specific design change in the underlying storage of a data system would affect performance, or reversely what would be the optimal data structure (from a given set of designs) given workload characteristics and a memory budget. In turn, these properties allow us to envision a new class of self-designing key-value stores with a substantially improved ability to adapt to workload and hardware changes by transitioning between drastically different data structure designs to assume a diverse set of performance properties at will."	125296	3.529411792755127	5	8.529000282287598
8	1906.08629	195218470	On structural and dynamical factors determining the integrated basin instability of power-grid nodes.	In electric power systems delivering alternating current, it is essential to maintain its synchrony of the phase with the rated frequency. The synchronization stability that quantifies how well the power-grid system recovers its synchrony against perturbation depends on various factors. As an intrinsic factor that we can design and control, the transmission capacity of the power grid affects the synchronization stability. Therefore, the transition pattern of the synchronization stability with the different levels of transmission capacity against external perturbation provides the stereoscopic perspective to understand the synchronization behavior of power grids. In this study, we extensively investigate the factors affecting the synchronization stability transition by using the concept of basin stability as a function of the transmission capacity. For a systematic approach, we introduce the integrated basin instability, which literally adds up the instability values as the transmission capacity increases. We first take simple 5-node motifs as a case study of building blocks of power grids, and a more realistic IEEE 24-bus model to highlight the complexity of decisive factors. We find that both structural properties such as gate keepers in network topology and dynamical properties such as large power input/output at nodes cause synchronization instability. The results suggest that evenly distributed power generation and avoidance of bottlenecks can improve the overall synchronization stability of power-grid systems.	121261	0.5882353186607361	3	3.5880000591278076
9	1304.6138	50735848	Quantization Domains	We study the quantization of certain classical field theories using reflection positivity. We give elementary conditions that ensure the resulting vacuum state is cyclic for products of quantum field operators, localized in a bounded Euclidean spacetime region O at positive time. We call such a domain a quantization domain for the classical field. The fact that bounded regions are quantization domains in classical field theory is similar to the “Reeh-Schlieder” property in axiomatic quantum field theory. 1. Quantization Domains The Reeh-Schlieder property of quantum field theory states that one can recover all the properties described by the field, or by bounded functions of the field called observables, from information localized in any open (bounded) space-time domain O. The Reeh-Schlieder theorem states that any Wightman field theory, or any Haag-Kastler local quantum theory, has this property [8, 9, 4]. This result is a consequence of analyticity properties that follow in turn from the positivity of the energy and Lorentz covariance, as well as locality. Here we consider the analog of this result in the context of a classical field on a Euclidean space-time X . We assume that the classical field can be quantized by using the Osterwalder-Schrader property of reflection positivity. We say that a domain O for the classical field is a quantization domain, if the quantization of fields supported in O gives a dense set of vectors in the physical Hilbert space. Of course, the are well-known equivalence theorems for Wightman theory and Osterwalder-Schrader (OS) theory ensure that any bounded, positive-time domains in an OS theory is a quantization domain. However, we are interested in investigating field theories for which all the standard axioms may not apply or cases in which they have not been verified. Thus we pose weaker assumptions about the classical theory than the full OS axioms. For example, we replace the relativistic spectrum condition with a weaker assumption. 1.1. Quantization. Consider d = s+ 1 dimensional space-times X = R× Σ , where Σ = X1 × · · · × Xs and Xj = R or Xj = S . Call the variable t ≡ x0 ∈ R the time coordinate. 1 2 RATNARAJAN HOOLE, ARTHUR JAFFE, AND CHRISTIAN JÄKEL Now consider the Fock space E(X) over the one-particle space L2(X). Denote the Fock vacuum vector by ΩE0 ∈ E(X) and assume that the classical scalar field Φ(f) = ∫ Φ(x)f(x)dx , f ∈ C 0 (X) , defined in terms of the usual creation and annihilation operators, gives rise to the characteristic functional S(f) = 〈ΩE0, e Ω0〉 = ∞ ∑ n=0 i n! 〈ΩE0,Φ(f) Ω0〉 , which is convergent for f ∈ C 0 (X). Assume that the abelian spacetime translation group T (a) and the time reflection θ act covariantly on the field and leave the characteristic functional S(f) invariant. Divide X into a union of three disjoint parts X = X− ∪X0 ∪X+ , with the reflection θ leaving X0 invariant and interchanging X±. Let E±,0 ⊂ E denote the subspace of finite linear combinations	41016	0.5882353186607361	3	3.5880000591278076
